0 0.83 0 411047953 359
1 1.35 0 60359661 528
2 2.84 0 368437604 275
3 4.03 0 527871633 416
4 4.76 0 38234030 552
5 5.38 0 150264731 627
6 6.83 0 164777880 358
7 8.08 0 42992166 628
8 8.70 0 65658163 523
9 10.14 0 132837682 426
10 11.62 0 163045566 371
11 12.73 0 188072576 460
12 14.03 0 13352975 364
13 15.10 0 144839160 472
14 16.23 0 147575521 598
15 17.56 0 127217067 462
16 18.59 0 181986887 509
17 20.05 0 129259524 457
18 21.14 0 366680094 399
19 21.76 0 28048250 540
20 22.94 0 766115815 498
21 23.66 0 207500786 344
22 24.37 0 194931887 501
23 25.22 0 649626392 451
24 26.67 0 147684940 513
25 27.99 0 65605398 525
26 28.82 0 38414321 466
27 29.47 0 203207378 648
28 30.86 0 112965120 362
29 32.32 0 59131158 531
30 33.09 0 89775056 467
31 34.47 0 103777746 476
32 35.45 0 68298626 546
33 36.50 0 200422574 690
34 37.30 0 164999211 504
35 38.63 0 64333361 690
36 39.89 0 137208730 616
37 40.63 0 301654216 335
38 41.50 0 70000761 683
39 42.52 0 119405805 547
40 43.09 0 4733806 316
41 43.67 0 51846722 578
42 44.51 0 100336694 596
43 45.31 0 102118571 690
44 46.75 0 85791824 274
45 47.62 0 11095133 704
46 48.57 0 134772194 480
47 49.73 0 156421554 376
48 50.33 0 83161572 568
49 51.21 0 83880934 607
50 51.89 0 169992576 379
51 52.77 0 108498229 581
52 53.52 0 147929420 534
53 54.54 0 784467868 425
54 55.18 0 2370068 389
55 56.12 0 205550872 538
56 57.25 0 186553494 472
57 58.08 0 48037290 663
58 58.96 0 359791584 649
59 59.75 0 55647865 536
60 60.94 0 141338753 556
61 62.20 0 177061281 489
62 63.47 0 18581560 325
63 64.56 0 189391316 546
64 66.04 0 62302557 371
65 66.59 0 190333390 410
66 67.23 0 43120840 453
67 68.05 0 175251790 634
68 68.93 0 31927862 453
69 69.81 0 168854933 492
70 70.39 0 127781419 634
71 71.15 0 101876816 286
72 72.15 0 161637733 602
73 73.29 0 129458128 341
74 74.48 0 640861570 457
75 75.32 0 27808973 563
76 76.48 0 120391494 454
77 77.05 0 154214897 609
78 78.31 0 520495256 404
79 79.08 0 38742330 438
80 79.77 0 169757745 522
81 80.63 0 67492028 528
82 81.13 0 717399579 597
83 82.43 0 116182780 540
84 82.96 0 55729844 637
85 83.81 0 18611469 567
86 85.29 0 32521941 531
87 86.13 0 5449223 538
88 87.23 0 187964709 489
89 88.57 0 128559664 652
90 89.80 0 1608652 359
91 91.02 0 26233499 595
92 92.51 0 119675862 269
93 93.77 0 65613079 589
94 94.60 0 127986536 309
95 95.61 0 140990754 612
96 96.26 0 831014727 656
97 96.90 0 158069687 693
98 97.47 0 12104282 515
99 98.33 0 97056437 465
100 98.98 0 22428674 494
101 100.10 0 632727782 434
102 101.11 0 165495110 530
103 102.48 0 71610552 628
104 103.18 0 158300415 635
105 104.54 0 46785928 664
106 105.53 0 94812856 519
107 107.00 0 56930874 619
108 108.40 0 683331264 463
109 109.39 0 204514031 560
110 110.12 0 241504064 521
111 110.68 0 85201458 348
112 111.60 0 173950076 620
113 112.56 0 85202176 681
114 113.09 0 23854518 719
115 114.14 0 123353643 528
116 114.73 0 161403946 519
117 115.24 0 202449987 477
118 116.29 0 118753771 434
119 117.10 0 35035902 423
120 117.67 0 162527734 402
121 118.17 0 45611811 471
122 119.62 0 29814616 535
123 120.44 0 62643317 554
124 121.10 0 132440469 657
125 122.54 0 129720120 405
126 123.49 0 161374816 562
127 124.39 0 187748979 528
